date,open,high,low,close,volume,turnover rate,PE_TTM,PB_LF,number of advancing stocks,number of declining stocks,market capitalization
2010/11/1,3390.41,3473,3390.41,3473,1867.26,1.03,16.6,2.57,273,17,218183.16
2010/11/2,3484.23,3522.18,3449.72,3463.13,2339.76,1.26,16.57,2.57,119,167,217691.62
2010/11/3,3462.74,3474.71,3419.08,3420.34,1788.03,1.03,16.48,2.55,72,213,216584.88
2010/11/4,3426.46,3480.93,3419.64,3480.51,1647.21,0.95,16.77,2.6,271,17,220334.01
2010/11/5,3538.99,3554.47,3498.28,3520.8,1966.18,1.12,16.99,2.63,213,70,223271.96
2010/11/8,3534.19,3549.31,3506.38,3548.57,1740.68,0.91,17.09,2.64,218,67,224593.22
2010/11/9,3547.44,3547.44,3498.62,3523.95,1701.75,0.88,16.94,2.62,105,182,222579.84
2010/11/10,3507.2,3508.28,3470.97,3499.11,1765.3,0.86,16.82,2.6,97,192,221047.87
2010/11/11,3490.74,3557.99,3484.89,3509.98,2091.22,1,17.02,2.63,128,153,223597.51
2010/11/12,3484.61,3497.06,3284.35,3291.83,2242.01,1.16,16.19,2.5,4,286,212690.27
2010/11/15,3298.74,3319.98,3241.76,3314.89,1444.93,0.74,16.25,2.51,198,86,213494.44
2010/11/16,3311.62,3311.62,3155.48,3169.54,1542.78,0.78,15.6,2.41,19,271,204979.05
2010/11/17,3124.11,3168.93,3087.51,3103.91,1189.81,0.6,15.35,2.37,44,240,201759.45
2010/11/18,3134.94,3158.63,3097.39,3147.96,944.76,0.47,15.52,2.39,252,26,203885.64
2010/11/19,3168.17,3178.85,3076.21,3178.85,1146.73,0.59,15.59,2.4,208,67,204876.77
2010/11/22,3148.22,3200.47,3137.75,3171.94,1143.03,0.59,15.52,2.39,132,155,203911.72
2010/11/23,3156.48,3156.48,3061.62,3107.18,1052.81,0.55,15.22,2.34,32,255,200020.09
2010/11/24,3088.99,3177.41,3088.99,3177.04,1076.88,0.53,15.34,2.36,287,4,201624.15
2010/11/25,3197.97,3227.05,3172.28,3223.48,1169.48,0.59,15.55,2.39,242,47,204305.71
2010/11/26,3214.13,3224.52,3170.36,3194.85,962.26,0.46,15.39,2.37,72,216,202241.27
2010/11/29,3183.54,3206.76,3159.46,3190.05,887.99,0.42,15.36,2.36,105,177,201825.24
2010/11/30,3187.53,3205.78,3060.44,3136.99,1205.72,0.6,15.18,2.32,47,245,199416.33
2010/12/1,3127.26,3150.44,3111.65,3136.02,694.73,0.34,15.19,2.32,143,139,199662.1
2010/12/2,3185.76,3194.23,3154.32,3155.06,897.64,0.43,15.34,2.35,190,79,201612.35
2010/12/3,3161.93,3171.38,3134.42,3158.16,713.87,0.35,15.35,2.35,135,145,201761.09
2010/12/6,3168.88,3185.33,3140.56,3165.57,800.43,0.39,15.47,2.37,113,165,203277.91
2010/12/7,3152.73,3214.69,3112.22,3200.34,855.48,0.41,15.57,2.38,230,45,204578.89
2010/12/8,3194.9,3215.28,3166.77,3171.88,870.56,0.41,15.41,2.36,66,220,202441.87
